mappath	city	weather	temp	last_update
liaoning,dandong	丹东	晴	-14	2017-01-23T02:10:00+08:00
guangdong,heyuan	河源	晴	8	2017-01-23T02:15:00+08:00
guizhou,tongren	铜仁	多云	8	2017-01-23T02:15:00+08:00
shanxi,yangquan	阳泉	晴	-11	2017-01-23T02:15:00+08:00
shanxi,taiyuan	太原	多云	-11	2017-01-23T02:15:00+08:00
yunnan,baoshan	保山	晴	7	2017-01-23T02:15:00+08:00
xizang,chamdo	N/A	N/A	N/A	N/A
sichuan,ya'an	雅安	阴	7	2017-01-23T02:15:00+08:00
nei mongol,baotou	N/A	N/A	N/A	N/A
sichuan,dazhou	达州	多云	5	2017-01-23T02:15:00+08:00
guangxi,hechi	河池	多云	10	2017-01-23T02:10:00+08:00
qinghai,haidong	海东	晴	-9	2017-01-23T02:15:00+08:00
nei mongol,chifeng	N/A	N/A	N/A	N/A
qinghai,gyêgu tibetan	N/A	N/A	N/A	N/A
qinghai,hainan tibetan	海南	多云	-13	2017-01-23T02:15:00+08:00
jiangsu,xuzhou	徐州	晴	-5	2017-01-23T02:15:00+08:00
sichuan,leshan	乐山	阴	8	2017-01-23T02:15:00+08:00
qinghai,golog tibetan	N/A	N/A	N/A	N/A
hunan,changsha	长沙	多云	7	2017-01-23T02:05:00+08:00
anhui,ma'anshan	马鞍山	多云	1	2017-01-23T02:10:00+08:00
anhui,tongling	铜陵	多云	2	2017-01-23T02:15:00+08:00
sichuan,zigong	自贡	阴	9	2017-01-23T02:15:00+08:00
guangxi,chongzuo	崇左	多云	13	2017-01-23T02:10:00+08:00
heilongjiang,suihua	绥化	多云	-24	2017-01-23T02:10:00+08:00
gansu,pingliang	平凉	多云	-2	2017-01-23T02:10:00+08:00
guangdong,shenzhen	深圳	晴	13	2017-01-23T02:15:00+08:00
shanxi,jinzhong	晋中	晴	-10	2017-01-23T02:15:00+08:00
heilongjiang,jixi	鸡西	多云	-21	2017-01-23T02:10:00+08:00
hubei,ezhou	鄂州	晴	4	2017-01-23T02:15:00+08:00
hubei,yichang	宜昌	多云	5	2017-01-23T02:15:00+08:00
yunnan,pu'er	普洱	阴	13	2017-01-23T02:15:00+08:00
zhejiang,jiaxing	嘉兴	多云	-1	2017-01-23T02:15:00+08:00
hunan,yueyang	岳阳	多云	5	2017-01-23T02:00:00+08:00
heilongjiang,qitaihe	七台河	多云	-23	2017-01-23T02:10:00+08:00
yunnan,lijiang	丽江	多云	2	2017-01-23T02:15:00+08:00
zhejiang,wenzhou	温州	晴	5	2017-01-23T02:20:00+08:00
shaanxi,ankang	安康	阴	3	2017-01-23T02:10:00+08:00
heilongjiang,hegang	鹤岗	晴	-30	2017-01-23T02:10:00+08:00
sichuan,liangshan yi	凉山	晴	8	2017-01-23T02:15:00+08:00
anhui,lu'an	六安	阴	3	2017-01-23T02:15:00+08:00
hainan,sanya	三亚	多云	19	2017-01-23T02:10:00+08:00
guangdong,zhongshan	中山	晴	10	2017-01-23T02:25:00+08:00
jiangsu,taizhou	泰州	多云	-4	2017-01-23T02:15:00+08:00
liaoning,liaoyang	辽阳	晴	-19	2017-01-23T02:10:00+08:00
nei mongol,xing'an	N/A	N/A	N/A	N/A
zhejiang,lishui	丽水	晴	2	2017-01-23T02:15:00+08:00
yunnan,dehong dai and jingpo	德宏	多云	10	2017-01-23T02:15:00+08:00
yunnan,lincang	临沧	多云	7	2017-01-23T02:15:00+08:00
shandong,weihai	威海	阵雪	-6	2017-01-23T02:15:00+08:00
hebei,hengshui	衡水	晴	-6	2017-01-23T02:15:00+08:00
jiangsu,huai'an	淮安	晴	-4	2017-01-23T02:15:00+08:00
jilin,changchun	长春	晴	-22	2017-01-23T02:00:00+08:00
hebei,tangshan	唐山	多云	-16	2017-01-23T02:15:00+08:00
anhui,bozhou	亳州	多云	-1	2017-01-23T02:15:00+08:00
heilongjiang,jiamusi	佳木斯	晴	-24	2017-01-23T02:10:00+08:00
sichuan,neijiang	内江	多云	9	2017-01-23T02:15:00+08:00
ningxia hui,zhongwei	中卫	多云	-11	2017-01-23T02:00:00+08:00
shandong,binzhou	滨州	晴	-7	2017-01-23T02:15:00+08:00
xinjiang uygur,khotan	N/A	N/A	N/A	N/A
hubei,jingzhou	荆州	多云	2	2017-01-23T02:15:00+08:00
jiangsu,yancheng	盐城	晴	-4	2017-01-23T02:15:00+08:00
yunnan,dali bai	大理	晴	9	2017-01-23T02:15:00+08:00
hunan,chenzhou	郴州	多云	6	2017-01-23T02:00:00+08:00
guizhou,anshun	安顺	阴	4	2017-01-23T02:15:00+08:00
nei mongol,ulaan chab	N/A	N/A	N/A	N/A
xinjiang uygur,shihezi	石河子	多云	-18	2017-01-23T02:30:00+08:00
shandong,dezhou	德州	晴	-5	2017-01-23T02:30:00+08:00
xizang,nyingtri	N/A	N/A	N/A	N/A
jilin,baishan	白山	多云	-23	2017-01-23T02:00:00+08:00
jilin,baicheng	白城	晴	-20	2017-01-23T02:00:00+08:00
xizang,shigatse	N/A	N/A	N/A	N/A
guangdong,foshan	佛山	晴	11	2017-01-23T02:30:00+08:00
shaanxi,tongchuan	铜川	晴	-4	2017-01-23T02:10:00+08:00
zhejiang,shaoxing	绍兴	多云	0	2017-01-23T02:25:00+08:00
shanxi,linfen	临汾	晴	-4	2017-01-23T02:15:00+08:00
heilongjiang,daqing	大庆	晴	-18	2017-01-23T02:30:00+08:00
anhui,wuhu	芜湖	多云	1	2017-01-23T02:30:00+08:00
zhejiang,zhoushan	舟山	多云	2	2017-01-23T02:30:00+08:00
anhui,huainan	淮南	多云	0	2017-01-23T02:15:00+08:00
shanxi,datong	大同	晴	-20	2017-01-23T02:15:00+08:00
shanxi,shuozhou	朔州	晴	-16	2017-01-23T02:30:00+08:00
anhui,fuyang	阜阳	多云	1	2017-01-23T02:15:00+08:00
jiangxi,nanchang	南昌	多云	5	2017-01-23T02:15:00+08:00
guangdong,guangzhou	广州	晴	10	2017-01-23T02:25:00+08:00
